run_name,backend,architecture,hidden_activation,learning_rate,l2_lambda,use_scaler,train_fraction,epochs,n_steps,parameter_count,train_loss,val_loss,test_loss,train_accuracy,val_accuracy,test_accuracy,train_precision,val_precision,test_precision,train_recall,val_recall,test_recall,train_f1,val_f1,test_f1,train_balanced_accuracy,val_balanced_accuracy,test_balanced_accuracy,train_specificity,val_specificity,test_specificity,train_roc_auc,val_roc_auc,test_roc_auc,weight_l2_norm,notes,selection_rank
wide_scaled,numpy,30-16-1,sigmoid,0.05,0.0,True,1.0,1400,1400,513,0.06351903782375683,0.07935167835020364,0.09912940953431738,0.9882697947214076,0.9736842105263158,0.9736842105263158,0.9861111111111112,0.9594594594594594,0.9859154929577465,0.9953271028037384,1.0,0.9722222222222222,0.9906976744186047,0.9793103448275862,0.9790209790209791,0.985852527779822,0.9651162790697674,0.9742063492063492,0.9763779527559056,0.9302325581395349,0.9761904761904762,0.9962469644565458,0.9967245332459875,0.9953703703703703,6.553262131772314,Gizli katmandaki noron sayisini artiran genis model.,1
deep_scaled_l2_data50,numpy,30-32-16-1,relu,0.01,0.001,True,0.5,1400,1400,1537,0.03571261508553867,0.08104517907913954,0.09582692466017166,0.9882352941176471,0.9736842105263158,0.9649122807017544,0.9906542056074766,0.9594594594594594,0.9857142857142858,0.9906542056074766,1.0,0.9583333333333334,0.9906542056074766,0.9793103448275862,0.971830985915493,0.9873905948672304,0.9651162790697674,0.9672619047619048,0.9841269841269841,0.9302325581395349,0.9761904761904762,0.9998516540572616,0.9977071732721913,0.9957010582010581,10.18619869767496,Egitim verisinin yuzde 50'si ile egitilen derin model.,2
deep_scaled_l2_data75,numpy,30-32-16-1,relu,0.01,0.001,True,0.75,1400,1400,1537,0.05001327806044709,0.09038024670411596,0.10322377616429616,0.9882352941176471,0.9736842105263158,0.9473684210526315,0.9875776397515528,0.9594594594594594,0.9583333333333334,0.99375,1.0,0.9583333333333334,0.9906542056074766,0.9793103448275862,0.9583333333333334,0.9863486842105263,0.9651162790697674,0.9434523809523809,0.9789473684210527,0.9302325581395349,0.9285714285714286,0.9988815789473684,0.9950867998689813,0.9957010582010581,10.169358026709622,Egitim verisinin yuzde 75'i ile egitilen derin model.,3
baseline_scaled,numpy,30-8-1,sigmoid,0.08,0.0,True,1.0,1200,1200,257,0.058654462855725044,0.07094410612804034,0.09874210104218988,0.9882697947214076,0.9649122807017544,0.9649122807017544,0.9861111111111112,0.958904109589041,0.9857142857142858,0.9953271028037384,0.9859154929577465,0.9583333333333334,0.9906976744186047,0.9722222222222222,0.971830985915493,0.985852527779822,0.9580740255486406,0.9672619047619048,0.9763779527559056,0.9302325581395349,0.9761904761904762,0.9959158142615351,0.99737962659679,0.9947089947089947,6.381912711313201,Ayni mimarinin standardizasyon ile iyilestirilmis surumu.,4
deep_scaled_no_l2,numpy,30-32-16-1,relu,0.01,0.0,True,1.0,1400,1400,1537,0.050672742248318504,0.08310495980013602,0.09739811119753217,0.9882697947214076,0.9649122807017544,0.956140350877193,0.9861111111111112,0.958904109589041,0.971830985915493,0.9953271028037384,0.9859154929577465,0.9583333333333334,0.9906976744186047,0.9722222222222222,0.965034965034965,0.985852527779822,0.9580740255486406,0.9553571428571428,0.9763779527559056,0.9302325581395349,0.9523809523809523,0.998381043491059,0.9967245332459875,0.996031746031746,10.161049207386556,Cok katmanli modelin reglarizasyonsuz referans surumu.,5
deep_scaled_l2,numpy,30-32-16-1,relu,0.01,0.001,True,1.0,1400,1400,1537,0.05082673782285227,0.08355962212386588,0.09785083895309471,0.9882697947214076,0.9649122807017544,0.956140350877193,0.9861111111111112,0.958904109589041,0.971830985915493,0.9953271028037384,0.9859154929577465,0.9583333333333334,0.9906976744186047,0.9722222222222222,0.965034965034965,0.985852527779822,0.9580740255486406,0.9553571428571428,0.9763779527559056,0.9302325581395349,0.9523809523809523,0.998381043491059,0.9967245332459875,0.996031746031746,10.16064941129033,Cok katmanli modelin L2 reglarizasyonlu temel surumu.,6
deep_scaled_l2_data100,numpy,30-32-16-1,relu,0.01,0.001,True,1.0,1400,1400,1537,0.05082673782285227,0.08355962212386588,0.09785083895309471,0.9882697947214076,0.9649122807017544,0.956140350877193,0.9861111111111112,0.958904109589041,0.971830985915493,0.9953271028037384,0.9859154929577465,0.9583333333333334,0.9906976744186047,0.9722222222222222,0.965034965034965,0.985852527779822,0.9580740255486406,0.9553571428571428,0.9763779527559056,0.9302325581395349,0.9523809523809523,0.998381043491059,0.9967245332459875,0.996031746031746,10.16064941129033,Egitim verisinin tamami ile egitilen derin model.,7
baseline_raw,numpy,30-8-1,sigmoid,0.08,0.0,False,1.0,1200,1200,257,0.6598608873186284,0.6627307673334341,0.658137478573959,0.6275659824046921,0.6228070175438597,0.631578947368421,0.6275659824046921,0.6228070175438597,0.631578947368421,1.0,1.0,1.0,0.7711711711711712,0.7675675675675676,0.7741935483870968,0.5,0.5,0.5,0.0,0.0,0.0,0.5456619324453602,0.5047494267933181,0.5208333333333333,3.584122811855318,Laboratuvar modelinin ham veri ile egitilen temel surumu.,8
