label,precision,recall,f1-score,support
malignant,0.9302325581395349,0.9523809523809523,0.9411764705882353,42.0
benign,0.971830985915493,0.9583333333333334,0.965034965034965,72.0
accuracy,0.956140350877193,0.956140350877193,0.956140350877193,0.956140350877193
macro avg,0.9510317720275139,0.9553571428571428,0.9531057178116001,114.0
weighted avg,0.9565052493664558,0.956140350877193,0.9562449933966962,114.0
