label,precision,recall,f1-score,support
malignant,0.9534883720930233,0.9761904761904762,0.9647058823529412,42.0
benign,0.9859154929577465,0.9722222222222222,0.9790209790209791,72.0
accuracy,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158
macro avg,0.9697019325253848,0.9742063492063492,0.9718634306869601,114.0
weighted avg,0.9739686589549538,0.9736842105263158,0.9737469960380177,114.0
