label,precision,recall,f1-score,support
malignant,0.0,0.0,0.0,42.0
benign,0.631578947368421,1.0,0.7741935483870968,72.0
accuracy,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421
macro avg,0.3157894736842105,0.5,0.3870967741935484,114.0
weighted avg,0.39889196675900274,0.631578947368421,0.48896434634974534,114.0
