epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.580754463868609,0.6375155277236808,0.6950146627565983,0.6754385964912281
2,0.5582380192082843,0.6168494220567394,0.7155425219941349,0.7017543859649122
3,0.5375930895036107,0.5977455347757882,0.7272727272727273,0.7105263157894737
4,0.5185282995839877,0.5801051356632667,0.7419354838709677,0.7280701754385965
5,0.5009823679505678,0.5637560852370683,0.7683284457478006,0.7280701754385965
6,0.48490886238632036,0.548624416847935,0.7771260997067448,0.7280701754385965
7,0.47006811943408233,0.5345563371893836,0.7917888563049853,0.7280701754385965
8,0.4563736496286582,0.5214247098670192,0.8035190615835777,0.7280701754385965
9,0.44367171727806504,0.5091977565856792,0.8093841642228738,0.7543859649122807
10,0.43188723233844095,0.4977905978332989,0.8123167155425219,0.7807017543859649
11,0.420876879637463,0.4871002948798424,0.8211143695014663,0.7807017543859649
12,0.41057771518338243,0.47706517477043536,0.8299120234604106,0.7807017543859649
13,0.40094941048145066,0.4676283565727568,0.8357771260997068,0.7894736842105263
14,0.39193273574894155,0.45875413812469756,0.844574780058651,0.8070175438596491
15,0.383443777715074,0.4503282554079139,0.8504398826979472,0.8245614035087719
16,0.3754171794098251,0.44232070008980945,0.8563049853372434,0.8245614035087719
17,0.3678530643032555,0.43476085277486837,0.8680351906158358,0.8333333333333334
18,0.3606863096138739,0.4275826420745752,0.8768328445747801,0.8333333333333334
19,0.3539030712733432,0.4207742013545035,0.8768328445747801,0.8333333333333334
20,0.34747011929227395,0.4142918936249035,0.8856304985337243,0.8333333333333334
21,0.3413767266308969,0.40813124878044493,0.8856304985337243,0.8333333333333334
22,0.33555679278578815,0.40224376565308395,0.8914956011730205,0.8333333333333334
23,0.33000693618876686,0.39661752862931066,0.8914956011730205,0.8333333333333334
24,0.32468402152038334,0.39120917050927345,0.8944281524926686,0.8333333333333334
25,0.3196005144503608,0.38603039370218656,0.8973607038123167,0.8421052631578947
26,0.3147513619167098,0.3810700151473869,0.9032258064516129,0.8508771929824561
27,0.31011153813552644,0.37631361832944965,0.9090909090909091,0.8596491228070176
28,0.3056591402239085,0.3717491141091187,0.9149560117302052,0.8596491228070176
29,0.30138907338113563,0.3673506550108664,0.9149560117302052,0.8596491228070176
30,0.29729436539501064,0.36311915947150347,0.9149560117302052,0.8596491228070176
31,0.2933476556466215,0.3590473737293498,0.9178885630498533,0.8596491228070176
32,0.2895331161421366,0.3551156790595586,0.9178885630498533,0.8596491228070176
33,0.2858510149129373,0.351323189916136,0.9178885630498533,0.8596491228070176
34,0.2823043530836178,0.3476650193002643,0.9208211143695014,0.8596491228070176
35,0.2788832403798902,0.34413714989727967,0.9208211143695014,0.8596491228070176
36,0.2755508137354662,0.3407108514792643,0.9208211143695014,0.868421052631579
37,0.27233772808934814,0.3374067785507766,0.9208211143695014,0.868421052631579
38,0.26922654598906703,0.33421014661661946,0.9208211143695014,0.868421052631579
39,0.266216017379166,0.33111572208836887,0.9208211143695014,0.868421052631579
40,0.2633030707808256,0.32811782986479493,0.9208211143695014,0.868421052631579
41,0.2604813793053711,0.32521419523499356,0.9208211143695014,0.868421052631579
42,0.25772120571643675,0.3223791620347538,0.9208211143695014,0.8771929824561403
43,0.2550464824011281,0.3196297548354942,0.9237536656891495,0.8771929824561403
44,0.2524563029866137,0.31696594179248183,0.9237536656891495,0.8771929824561403
45,0.24993983405765455,0.3143738154995756,0.9266862170087976,0.8771929824561403
46,0.24749681121212996,0.31185959147876585,0.9296187683284457,0.8771929824561403
47,0.24512683869502885,0.30941892054185827,0.9296187683284457,0.8771929824561403
48,0.24282525585906897,0.3070496985170555,0.9296187683284457,0.8771929824561403
49,0.24058981607164637,0.3047350492182766,0.9296187683284457,0.8771929824561403
50,0.23841240817276935,0.30246536129179447,0.9325513196480938,0.8771929824561403
51,0.23629509456115297,0.3002538617758464,0.9354838709677419,0.8771929824561403
52,0.23424396068364076,0.29809993167483595,0.9354838709677419,0.8771929824561403
53,0.23225758962184698,0.29601432061883937,0.9384164222873901,0.8771929824561403
54,0.23031959147947556,0.29398367022196215,0.9384164222873901,0.8771929824561403
55,0.22843141968321615,0.29200674603921384,0.9384164222873901,0.8771929824561403
56,0.22658660038266762,0.2900799298442235,0.9384164222873901,0.8771929824561403
57,0.22473664636300236,0.2881714474844003,0.9384164222873901,0.8859649122807017
58,0.22292895247029154,0.2863111161867311,0.9472140762463344,0.8859649122807017
59,0.22116110429836314,0.2844890265710372,0.9472140762463344,0.8859649122807017
60,0.219437544686865,0.2827112268855098,0.9472140762463344,0.8859649122807017
61,0.21775824077780215,0.28098307173560544,0.9472140762463344,0.8859649122807017
62,0.21611911557994812,0.27929474417585554,0.9472140762463344,0.8859649122807017
63,0.21451861730019522,0.2776465495049156,0.9472140762463344,0.8859649122807017
64,0.21294940313406394,0.2760354743683509,0.9472140762463344,0.8859649122807017
65,0.21140567234409477,0.27445430251560143,0.9472140762463344,0.8859649122807017
66,0.20989472488199784,0.2729071085341494,0.9472140762463344,0.8859649122807017
67,0.20841843800296303,0.27139427414601713,0.9472140762463344,0.8859649122807017
68,0.2069787094051886,0.2699158849147531,0.9472140762463344,0.8859649122807017
69,0.20557234790199305,0.2684708152620434,0.9472140762463344,0.8859649122807017
70,0.20419644567999684,0.26705523876559456,0.9472140762463344,0.8859649122807017
71,0.2028405263279992,0.2656636299613599,0.9472140762463344,0.8859649122807017
72,0.20150951279987273,0.26430276953630677,0.9501466275659824,0.8859649122807017
73,0.20019849897230155,0.26296650391913884,0.9501466275659824,0.8947368421052632
74,0.1989111889902583,0.26165398141544477,0.9501466275659824,0.8947368421052632
75,0.19765227168988803,0.2603679778016323,0.9501466275659824,0.8947368421052632
76,0.19642218761473784,0.25910969614117907,0.9501466275659824,0.8947368421052632
77,0.195218151791425,0.2578760155284764,0.9501466275659824,0.8947368421052632
78,0.19404036543117034,0.2566685206581637,0.9501466275659824,0.8947368421052632
79,0.19288612863265925,0.2554801745829581,0.9501466275659824,0.8947368421052632
80,0.1917567601098858,0.25431431564686297,0.9501466275659824,0.8947368421052632
81,0.19065240188628493,0.25317046236796176,0.9501466275659824,0.8947368421052632
82,0.18957048978633534,0.25204750046591773,0.9501466275659824,0.8947368421052632
83,0.18850976999317964,0.250946477879464,0.9501466275659824,0.8947368421052632
