label,precision,recall,f1-score,support
malignant,0.9285714285714286,0.9285714285714286,0.9285714285714286,42.0
benign,0.9583333333333334,0.9583333333333334,0.9583333333333334,72.0
accuracy,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315
macro avg,0.9434523809523809,0.9434523809523809,0.9434523809523809,114.0
weighted avg,0.9473684210526315,0.9473684210526315,0.9473684210526315,114.0
