label,precision,recall,f1-score,support
malignant,0.9318181818181818,0.9761904761904762,0.9534883720930233,42.0
benign,0.9857142857142858,0.9583333333333334,0.971830985915493,72.0
accuracy,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544
macro avg,0.9587662337662337,0.9672619047619048,0.9626596790042581,114.0
weighted avg,0.9658578263841422,0.9649122807017544,0.9650731808230041,114.0
